tournament,men_women,match_date,player_1,player_1_odds,player_2,player_2_odds
Australian Open 2012,Men,2012-01-17,Potito Starace,1.77,Tatsuma Ito,2.24
Australian Open 2012,Men,2012-01-17,Nicolas Mahut,5.3,Radek Stepanek,1.2
Australian Open 2012,Men,2012-01-17,Filippo Volandri,40,Milos Raonic,1.02
Australian Open 2012,Men,2012-01-17,Lukas Rosol,3.25,Philipp Petzschner,1.42
Australian Open 2012,Men,2012-01-17,Cedrik Marcel Stebe,3.5999999999999996,Lleyton Hewitt,1.36
Australian Open 2012,Men,2012-01-17,Andy Roddick,1.29,Robin Haase,4.199999999999999
Australian Open 2012,Men,2012-01-17,Dmitry Tursunov,8,Janko Tipsarevic,1.13
Australian Open 2012,Men,2012-01-17,Andreas Seppi,3.75,Richard Gasquet,1.33
Australian Open 2012,Men,2012-01-17,Juan Ignacio Chela,2.08,Michael Russell,1.8900000000000001
Australian Open 2012,Men,2012-01-17,Igor Kunitsyn,1.3900000000000001,Pablo Andujar,3.3
Australian Open 2012,Men,2012-01-17,Matthias Bachinger,1.84,Ryan Sweeting,2.16
Australian Open 2012,Men,2012-01-17,David Ferrer,1.01,Rui Machado,55
Australian Open 2012,Men,2012-01-17,Andy Murray,1.03,Ryan Harrison,29
Australian Open 2012,Men,2012-01-17,Edouard Roger Vasselin,2.96,Xavier Malisse,1.49
Australian Open 2012,Men,2012-01-17,Ernests Gulbis,1.71,Michael Llodra,2.32
Australian Open 2012,Men,2012-01-17,Alex Bogomolov Jr,1.13,Daniel Gimeno Traver,7
Australian Open 2012,Men,2012-01-17,Juan Carlos Ferrero,2.74,Viktor Troicki,1.54
Australian Open 2012,Men,2012-01-17,Guillermo Garcia Lopez,1.5899999999999999,Mikhail Kukushkin,2.6
Australian Open 2012,Men,2012-01-17,Dudi Sela,2,Thomaz Bellucci,1.98
Australian Open 2012,Men,2012-01-17,Gael Monfils,1.04,Marinko Matosevic,18
Australian Open 2012,Men,2012-01-17,Julien Benneteau,1.09,Karol Beck,10.5
Australian Open 2012,Men,2012-01-17,Kei Nishikori,1.09,Stephane Robert,10.5
Australian Open 2012,Men,2012-01-17,Jesse Levine,3.55,Marcel Granollers,1.38
Australian Open 2012,Men,2012-01-17,Frederico Gil,3.8,Ivan Dodig,1.34
Australian Open 2012,Men,2012-01-17,Denis Istomin,7.6000000000000005,Jo Wilfried Tsonga,1.13
Australian Open 2012,Men,2012-01-16,Gilles Muller,5.3,Mardy Fish,1.2
Australian Open 2012,Men,2012-01-16,Alejandro Falla,1.52,Fabio Fognini,2.8
Australian Open 2012,Men,2012-01-16,Albert Montanes,1.38,Pere Riba,3.4
Australian Open 2012,Men,2012-01-16,Juan Monaco,2.6,Philipp Kohlschreiber,1.6
Australian Open 2012,Men,2012-01-16,Adrian Mannarino,12,Juan Martin Del Potro,1.08
Australian Open 2012,Men,2012-01-16,Alexandr Dolgopolov,1.06,Greg Jones,11
Australian Open 2012,Men,2012-01-16,Tobias Kamke,1.62,Victor Hanescu,2.32
Australian Open 2012,Men,2012-01-16,Kenny De Schepper,6.2,Sam Querrey,1.17
Australian Open 2012,Men,2012-01-16,Bernard Tomic,1.72,Fernando Verdasco,2.34
Australian Open 2012,Men,2012-01-16,Ivo Karlovic,2.5,Jurgen Melzer,1.58
Australian Open 2012,Men,2012-01-16,Andreas Beck,1.21,Eric Prodon,5
Australian Open 2012,Men,2012-01-16,Albert Ramos,27,Tomas Berdych,1.02
Australian Open 2012,Men,2012-01-16,Benoit Paire,5,Stanislas Wawrinka,1.22
Australian Open 2012,Men,2012-01-16,Benjamin Becker,6.6000000000000005,Marcos Baghdatis,1.1400000000000001
Australian Open 2012,Men,2012-01-16,Grigor Dimitrov,1.57,Jeremy Chardy,2.56
Australian Open 2012,Men,2012-01-16,Lukasz Kubot,3.0999999999999996,Nicolas Almagro,1.43
Australian Open 2012,Men,2012-01-16,Benjamin Mitchell,9.600000000000001,John Isner,1.08
Australian Open 2012,Men,2012-01-16,David Nalbandian,1.72,Jarkko Nieminen,2.38
Australian Open 2012,Men,2012-01-16,Flavio Cipolla,3.9,Nikolay Davydenko,1.33
Australian Open 2012,Men,2012-01-16,Feliciano Lopez,1.29,Leonardo Mayer,4
Australian Open 2012,Men,2012-01-17,Matteo Viola,10.5,Santiago Giraldo,1.09
Australian Open 2012,Men,2012-01-17,James Duckworth,2.94,Jurgen Zopp,1.48
Australian Open 2012,Men,2012-01-17,Andrey Golubev,5.3,Mikhail Youzhny,1.22
Australian Open 2012,Men,2012-01-17,Danai Udomchoke,15.5,Gilles Simon,1.04
Australian Open 2012,Men,2012-01-17,Ricardo Mello,1.9500000000000002,Roberto Bautista Agut,1.8900000000000001
Australian Open 2012,Men,2012-01-16,Florent Serra,1.5899999999999999,Steve Darcis,2.64
Australian Open 2012,Men,2012-01-16,Blaz Kavcic,1.92,James Ward,1.98
Australian Open 2012,Men,2012-01-16,Carlos Berlocq,1.79,Jesse Huta Galung,2.2
Australian Open 2012,Men,2012-01-16,Bjorn Phau,1.29,Olivier Rochus,1.8599999999999999
Australian Open 2012,Men,2012-01-16,Illya Marchenko,3.05,Sergiy Stakhovsky,1.44
Australian Open 2012,Men,2012-01-16,Frederik Nielsen,4.699999999999999,Kevin Anderson,1.24
Australian Open 2012,Men,2012-01-16,Ivan Ljubicic,2.26,Lukas Lacko,1.74
Australian Open 2012,Men,2012-01-16,Donald Young,1.6,Peter Gojowczyk,2.62
Australian Open 2012,Men,2012-01-16,Denis Kudla,3.1999999999999997,Tommy Haas,1.42
Australian Open 2012,Men,2012-01-16,Alex Kuznetsov,55,Rafael Nadal,1.01
Australian Open 2012,Men,2012-01-17,Joao Souza,5.8999999999999995,Matthew Ebden,1.16
Australian Open 2012,Men,2012-01-16,Rik De Voest,3.15,Yen Hsun Lu,1.42
Australian Open 2012,Men,2012-01-18,Blaz Kavcic,19.5,Juan Martin Del Potro,1.04
Australian Open 2012,Men,2012-01-18,Feliciano Lopez,1.36,Flavio Cipolla,3.4
Australian Open 2012,Men,2012-01-18,Kevin Anderson,1.29,Sergiy Stakhovsky,4.199999999999999
Australian Open 2012,Men,2012-01-18,Bernard Tomic,1.4,Sam Querrey,3.3499999999999996
Australian Open 2012,Men,2012-01-18,Alejandro Falla,10.5,Mardy Fish,1.1
Australian Open 2012,Men,2012-01-18,Pere Riba,11,Philipp Kohlschreiber,1.09
Australian Open 2012,Men,2012-01-18,Alexandr Dolgopolov,1.49,Tobias Kamke,2.94
Australian Open 2012,Men,2012-01-18,Carlos Berlocq,3.6999999999999997,Ivo Karlovic,1.34
Australian Open 2012,Men,2012-01-18,Olivier Rochus,11,Tomas Berdych,1.09
Australian Open 2012,Men,2012-01-18,Marcos Baghdatis,1.84,Stanislas Wawrinka,2.08
Australian Open 2012,Men,2012-01-18,Grigor Dimitrov,2.2800000000000002,Nicolas Almagro,1.75
Australian Open 2012,Men,2012-01-18,Rafael Nadal,1.02,Tommy Haas,29
Australian Open 2012,Men,2012-01-18,David Nalbandian,1.99,John Isner,1.97
Australian Open 2012,Men,2012-01-18,Donald Young,1.98,Lukas Lacko,1.96
Australian Open 2012,Men,2012-01-18,Florent Serra,2.7,Yen Hsun Lu,1.58
Australian Open 2012,Men,2012-01-18,Andreas Beck,70,Roger Federer,1.01
Australian Open 2012,Men,2012-01-19,Milos Raonic,1.36,Philipp Petzschner,3.5999999999999996
Australian Open 2012,Men,2012-01-17,Novak Djokovic,1.02,Santiago Giraldo,1.02
Australian Open 2012,Men,2012-01-19,Novak Djokovic,1.01,Santiago Giraldo,80
Australian Open 2012,Men,2012-01-19,Alex Bogomolov Jr,1.71,Michael Llodra,2.34
Australian Open 2012,Men,2012-01-19,Andrey Golubev,6.800000000000001,Richard Gasquet,1.15
Australian Open 2012,Men,2012-01-19,David Ferrer,1.03,Ryan Sweeting,13
Australian Open 2012,Men,2012-01-19,James Duckworth,16,Janko Tipsarevic,1.05
Australian Open 2012,Men,2012-01-19,Juan Ignacio Chela,1.56,Pablo Andujar,2.68
Australian Open 2012,Men,2012-01-19,Gael Monfils,1.16,Thomaz Bellucci,6.6000000000000005
Australian Open 2012,Men,2012-01-19,Nicolas Mahut,1.65,Tatsuma Ito,2.44
Australian Open 2012,Men,2012-01-19,Frederico Gil,4,Marcel Granollers,1.3
Australian Open 2012,Men,2012-01-19,Gilles Simon,1.82,Julien Benneteau,2.18
Australian Open 2012,Men,2012-01-19,Jo Wilfried Tsonga,1.03,Ricardo Mello,16
Australian Open 2012,Men,2012-01-19,Andy Roddick,1.29,Lleyton Hewitt,4.3
Australian Open 2012,Men,2012-01-19,Mikhail Kukushkin,3.5999999999999996,Viktor Troicki,1.36
Australian Open 2012,Men,2012-01-19,Kei Nishikori,1.33,Matthew Ebden,3.6999999999999997
Australian Open 2012,Men,2012-01-20,Kevin Anderson,5.199999999999999,Tomas Berdych,1.21
Australian Open 2012,Men,2012-01-20,Alejandro Falla,3.3,Philipp Kohlschreiber,1.4100000000000001
Australian Open 2012,Men,2012-01-20,Juan Martin Del Potro,1.08,Yen Hsun Lu,12
Australian Open 2012,Men,2012-01-20,Lukas Lacko,26,Rafael Nadal,1.03
Australian Open 2012,Men,2012-01-20,Feliciano Lopez,2.2800000000000002,John Isner,1.75
Australian Open 2012,Men,2012-01-20,Ivo Karlovic,26,Roger Federer,1.03
Australian Open 2012,Men,2012-01-20,Alexandr Dolgopolov,2.18,Bernard Tomic,1.82
Australian Open 2012,Men,2012-01-20,Nicolas Almagro,3.5,Stanislas Wawrinka,1.37
Australian Open 2012,Men,2012-01-21,Nicolas Mahut,85,Novak Djokovic,1.01
Australian Open 2012,Men,2012-01-21,Frederico Gil,28,Jo Wilfried Tsonga,1.03
Australian Open 2012,Men,2012-01-21,David Ferrer,1.07,Juan Ignacio Chela,13.5
Australian Open 2012,Men,2012-01-21,Janko Tipsarevic,1.99,Richard Gasquet,1.98
Australian Open 2012,Men,2012-01-21,Andy Murray,1.03,Michael Llodra,28
Australian Open 2012,Men,2012-01-21,Gael Monfils,1.1400000000000001,Mikhail Kukushkin,7.4
Australian Open 2012,Men,2012-01-21,Lleyton Hewitt,3.4499999999999997,Milos Raonic,1.4
Australian Open 2012,Men,2012-01-21,Julien Benneteau,2.06,Kei Nishikori,1.88
Australian Open 2012,Men,2012-01-22,Nicolas Almagro,5.8,Tomas Berdych,1.19
Australian Open 2012,Men,2012-01-22,Feliciano Lopez,15,Rafael Nadal,1.06
Australian Open 2012,Men,2012-01-22,Juan Martin Del Potro,1.19,Philipp Kohlschreiber,5.8
Australian Open 2012,Men,2012-01-22,Bernard Tomic,10,Roger Federer,1.09
Australian Open 2012,Men,2012-01-23,David Ferrer,1.52,Richard Gasquet,2.86
Australian Open 2012,Men,2012-01-23,Jo Wilfried Tsonga,1.24,Kei Nishikori,4.8999999999999995
Australian Open 2012,Men,2012-01-23,Andy Murray,1.02,Mikhail Kukushkin,29
Australian Open 2012,Men,2012-01-23,Lleyton Hewitt,27,Novak Djokovic,1.02
Australian Open 2012,Men,2012-01-24,Rafael Nadal,1.25,Tomas Berdych,4.699999999999999
Australian Open 2012,Men,2012-01-24,Juan Martin Del Potro,4,Roger Federer,1.31
Australian Open 2012,Men,2012-01-25,Andy Murray,1.06,Kei Nishikori,13.5
Australian Open 2012,Men,2012-01-25,David Ferrer,8.8,Novak Djokovic,1.11
Australian Open 2012,Men,2012-01-26,Rafael Nadal,2.58,Roger Federer,1.62
Australian Open 2012,Men,2012-01-27,Andy Murray,3.3499999999999996,Novak Djokovic,1.4100000000000001
Australian Open 2012,Men,2012-01-29,Novak Djokovic,1.7000000000000002,Rafael Nadal,2.38
Australian Open 2013,Men,2013-01-14,Ryan Harrison,1.79,Santiago Giraldo,2.1
Australian Open 2013,Men,2013-01-14,Radek Stepanek,2.66,Viktor Troicki,1.56
Australian Open 2013,Men,2013-01-14,Flavio Cipolla,3.3499999999999996,Tobias Kamke,1.31
Australian Open 2013,Men,2013-01-15,Benoit Paire,36,Roger Federer,1.02
Australian Open 2013,Men,2013-01-15,Bernard Tomic,1.06,Leonardo Mayer,13
Australian Open 2013,Men,2013-01-14,Kevin Anderson,1.11,Paolo Lorenzi,8.600000000000001
Australian Open 2013,Men,2013-01-15,Aljaz Bedene,1.75,Benjamin Becker,2.26
Australian Open 2013,Men,2013-01-14,Andrey Kuznetsov,4,Juan Monaco,1.29
Australian Open 2013,Men,2013-01-15,Grega Zemlja,2.26,Marcel Granollers,1.6
Australian Open 2013,Men,2013-01-14,Pablo Andujar,4.8999999999999995,Xavier Malisse,1.24
Australian Open 2013,Men,2013-01-15,Andreas Seppi,1.26,Horacio Zeballos,4.6
Australian Open 2013,Men,2013-01-14,David Goffin,2.32,Fernando Verdasco,1.63
Australian Open 2013,Men,2013-01-14,Jurgen Melzer,1.16,Mikhail Kukushkin,6.2
Australian Open 2013,Men,2013-01-15,Denis Istomin,1.5,Igor Sijsling,2.8
Australian Open 2013,Men,2013-01-14,Fabio Fognini,1.92,Roberto Bautista Agut,2.04
Australian Open 2013,Men,2013-01-15,Marin Cilic,1.18,Marinko Matosevic,6
Australian Open 2013,Men,2013-01-15,Filippo Volandri,17.5,Gilles Simon,1.04
Australian Open 2013,Men,2013-01-15,Jesse Levine,1.78,Tommy Robredo,2.22
Australian Open 2013,Men,2013-01-15,Ruben Ramirez Hidalgo,12.5,Yen Hsun Lu,1.07
Australian Open 2013,Men,2013-01-14,Michael Russell,18.5,Tomas Berdych,1.03
Australian Open 2013,Men,2013-01-15,Alexandr Dolgopolov,1.6400000000000001,Gael Monfils,2.5
Australian Open 2013,Men,2013-01-14,David Ferrer,1.02,Olivier Rochus,27
Australian Open 2013,Men,2013-01-15,Florian Mayer,1.17,Rhyne Williams,6.4
Australian Open 2013,Men,2013-01-14,John Millman,1.3,Tatsuma Ito,3.9499999999999997
Australian Open 2013,Men,2013-01-15,Joao Sousa,1.77,John Patrick Smith,2.26
Australian Open 2013,Men,2013-01-14,Albert Ramos,9.2,Marcos Baghdatis,1.12
Australian Open 2013,Men,2013-01-15,Andy Murray,1.02,Robin Haase,38
Australian Open 2013,Men,2013-01-14,Matthew Ebden,5.3,Mikhail Youzhny,1.22
Australian Open 2013,Men,2013-01-15,Philipp Kohlschreiber,1.13,Steve Darcis,7.4
Australian Open 2013,Men,2013-01-14,Adrian Ungur,3.75,Evgeny Donskoy,1.25
Australian Open 2013,Men,2013-01-15,Jo Wilfried Tsonga,1.12,Michael Llodra,9
Australian Open 2013,Men,2013-01-14,Kei Nishikori,1.1,Victor Hanescu,10
Australian Open 2013,Men,2013-01-15,Go Soeda,1.15,Luke Saville,7
Australian Open 2013,Men,2013-01-14,Daniel Gimeno Traver,3.9499999999999997,Lukasz Kubot,1.31
Australian Open 2013,Men,2013-01-15,Benjamin Mitchell,2.66,James Duckworth,1.5
Australian Open 2013,Men,2013-01-14,Bjorn Phau,1.3900000000000001,Somdev Devvarman,3.0999999999999996
Australian Open 2013,Men,2013-01-15,Blaz Kavcic,3.4499999999999997,Thomaz Bellucci,1.38
Australian Open 2013,Men,2013-01-14,Jerzy Janowicz,1.35,Simone Bolelli,3.55
Australian Open 2013,Men,2013-01-15,Jarkko Nieminen,3.1999999999999997,Tommy Haas,1.4
Australian Open 2013,Men,2013-01-14,Grigor Dimitrov,1.6,Julien Benneteau,2.6
Australian Open 2013,Men,2013-01-15,Di Wu,5.5,Ivan Dodig,1.21
Australian Open 2013,Men,2013-01-15,Alejandro Falla,1.35,Josselin Ouanna,3.65
Australian Open 2013,Men,2013-01-14,Gilles Muller,2.62,Lukas Lacko,1.54
Australian Open 2013,Men,2013-01-14,Janko Tipsarevic,1.7000000000000002,Lleyton Hewitt,2.4
Australian Open 2013,Men,2013-01-15,Albert Montanes,24,Richard Gasquet,1.03
Australian Open 2013,Men,2013-01-15,Jan Hajek,19.5,Milos Raonic,1.04
Australian Open 2013,Men,2013-01-15,Adrian Mannarino,13,Juan Martin Del Potro,1.06
Australian Open 2013,Men,2013-01-14,Arnau Brugues Davi,3.8499999999999996,Feliciano Lopez,1.24
Australian Open 2013,Men,2013-01-14,Daniel Munoz De La Nava,5.1,Sam Querrey,1.08
Australian Open 2013,Men,2013-01-14,Alex Bogomolov Jr,2.06,Brian Baker,1.85
Australian Open 2013,Men,2013-01-14,Cedrik Marcel Stebe,6.6000000000000005,Stanislas Wawrinka,1.15
Australian Open 2013,Men,2013-01-14,Guillaume Rufin,2.34,Julian Reister,1.71
Australian Open 2013,Men,2013-01-14,Carlos Berlocq,2.18,Maxime Authom,1.7000000000000002
Australian Open 2013,Men,2013-01-14,Nicolas Almagro,1.19,Steve Johnson,5.8
Australian Open 2013,Men,2013-01-14,Edouard Roger Vasselin,2.24,Ruben Bemelmans,1.78
Australian Open 2013,Men,2013-01-14,Ivo Karlovic,1.73,Tim Smyczek,2.2
Australian Open 2013,Men,2013-01-15,Adrian Menendez Maceiras,3.15,Jeremy Chardy,1.31
Australian Open 2013,Men,2013-01-15,Guillermo Garcia Lopez,1.46,Rajeev Ram,3
Australian Open 2013,Men,2013-01-15,Amir Weintraub,2.14,Guido Pella,1.85
Australian Open 2013,Men,2013-01-15,Ricardas Berankis,1.55,Sergiy Stakhovsky,2.66
Australian Open 2013,Men,2013-01-15,Daniel Brands,1.8,Martin Klizan,2.14
Australian Open 2013,Men,2013-01-15,Dudi Sela,3.1999999999999997,Nikolay Davydenko,1.27
Australian Open 2013,Men,2013-01-15,Jamie Baker,3.4,Lukas Rosol,1.3900000000000001
Australian Open 2013,Men,2013-01-16,Daniel Gimeno Traver,10.5,Nicolas Almagro,1.09
Australian Open 2013,Men,2013-01-16,Carlos Berlocq,14.5,Kei Nishikori,1.07
Australian Open 2013,Men,2013-01-16,Edouard Roger Vasselin,5.5,Julien Benneteau,1.21
Australian Open 2013,Men,2013-01-16,Guillaume Rufin,22,Tomas Berdych,1.02
Australian Open 2013,Men,2013-01-16,Fernando Verdasco,1.58,Xavier Malisse,2.6
Australian Open 2013,Men,2013-01-16,Stanislas Wawrinka,1.1400000000000001,Tobias Kamke,6.6000000000000005
Australian Open 2013,Men,2013-01-16,Evgeny Donskoy,3.6999999999999997,Mikhail Youzhny,1.36
Australian Open 2013,Men,2013-01-16,David Ferrer,1.01,Tim Smyczek,48
Australian Open 2013,Men,2013-01-16,Jerzy Janowicz,1.22,Somdev Devvarman,5.1
Australian Open 2013,Men,2013-01-16,Andrey Kuznetsov,5.8999999999999995,Kevin Anderson,1.18
Australian Open 2013,Men,2013-01-16,Brian Baker,5.699999999999999,Sam Querrey,1.21
Australian Open 2013,Men,2013-01-16,Jurgen Melzer,1.74,Roberto Bautista Agut,2.18
Australian Open 2013,Men,2013-01-16,Janko Tipsarevic,1.17,Lukas Lacko,6.800000000000001
Australian Open 2013,Men,2013-01-16,Feliciano Lopez,1.8900000000000001,Radek Stepanek,2.08
Australian Open 2013,Men,2013-01-16,Marcos Baghdatis,1.07,Tatsuma Ito,11
Australian Open 2013,Men,2013-01-17,Andreas Seppi,1.9100000000000001,Denis Istomin,2.04
Australian Open 2013,Men,2013-01-17,Florian Mayer,2.02,Ricardas Berankis,1.9100000000000001
Australian Open 2013,Men,2013-01-17,Amir Weintraub,12.5,Philipp Kohlschreiber,1.07
Australian Open 2013,Men,2013-01-17,Go Soeda,17,Jo Wilfried Tsonga,1.05
Australian Open 2013,Men,2013-01-17,Blaz Kavcic,1.4,James Duckworth,3.05
Australian Open 2013,Men,2013-01-17,Lukas Rosol,5.6,Milos Raonic,1.21
Australian Open 2013,Men,2013-01-17,Gilles Simon,1.45,Jesse Levine,3.05
Australian Open 2013,Men,2013-01-17,Alejandro Falla,8,Richard Gasquet,1.13
Australian Open 2013,Men,2013-01-17,Benjamin Becker,22,Juan Martin Del Potro,1.03
Australian Open 2013,Men,2013-01-17,Ivan Dodig,2.94,Jarkko Nieminen,1.5
Australian Open 2013,Men,2013-01-17,Bernard Tomic,1.13,Daniel Brands,7.6000000000000005
Australian Open 2013,Men,2013-01-17,Gael Monfils,1.33,Yen Hsun Lu,3.75
Australian Open 2013,Men,2013-01-17,Marin Cilic,1.06,Rajeev Ram,13.5
Australian Open 2013,Men,2013-01-17,Nikolay Davydenko,16,Roger Federer,1.06
Australian Open 2013,Men,2013-01-17,Jeremy Chardy,2.2800000000000002,Marcel Granollers,1.74
